CODE,NAME,MALE_POPULATION,FEMALE_POPULATION,TOTAL_POPULATION
7102171,TOMBULU,7641,7377,15018
7102190,TONDANO BARAT,9510,9359,18869
7102191,TONDANO SELATAN,9896,9836,19732
7102200,REMBOKEN,5659,5318,10977
7102210,KAKAS,11009,10211,21220
7102220,LEMBEAN TIMUR,3956,3558,7514
7102230,ERIS,5086,4856,9942
7102240,KOMBI,5165,4855,10020
7102250,TONDANO TIMUR,7126,6640,13766
7102251,TONDANO UTARA,5659,5511,11170
7103,KEPULAUAN SANGIHE,63859,62274,126133
7103040,MANGANITU SELATAN,4989,4936,9925
7103041,TATOARENG,2253,2131,4384
7103050,TAMAKO,6576,6458,13034
7103060,TABUKAN SELATAN,3036,2824,5860
7103061,TABUKAN SELATAN TENGAH,1376,1319,2695
7103062,TABUKAN SELATAN TENGGARA,1082,1026,2108
7103070,TABUKAN TENGAH,5297,5010,10307
7103080,MANGANITU,6954,6944,13898
7103090,TAHUNA,7839,8018,15857
7103091,TAHUNA TIMUR,6144,6234,12378
7103092,TAHUNA BARAT,2722,2728,5450
7103100,TABUKAN UTARA,9950,9540,19490
7103101,NUSA TABUKAN,1585,1326,2911
7103102,KEPULAUAN MARORE,742,628,1370
7103110,KENDAHE,3314,3152,6466
7104,KEPULAUAN TALAUD,42681,40760,83441
7104010,KABARUAN,2819,2663,5482
7104011,DAMAU,2131,1994,4125
7104020,LIRUNG,3220,2918,6138
7104021,SALIBABU,2821,2740,5561
7104022,KALONGAN,1579,1479,3058
7104023,MORONGE,1769,1741,3510
7104030,MELONGUANE,5431,5004,10435
7104031,MELONGUANE TIMUR,1484,1474,2958
7104040,BEO,2766,2749,5515
7104041,BEO UTARA,1835,1764,3599
7104042,BEO SELATAN,1810,1689,3499
7104050,RAINIS,2969,3000,5969
7104051,TAMPA NA'MMA,2865,2630,5495
7104052,PULUTAN,994,960,1954
7104060,ESSANG,1775,1626,3401
7104061,ESSANG SELATAN,1633,1585,3218
7104070,GEMEH ,2740,2721,5461
7104080,NANUSA,1690,1645,3335
7104081,MIANGAS,350,378,728
7105,MINAHASA SELATAN,100886,94201,195087
7105010,MODOINDING,5829,5481,11310
7105020,TOMPASO BARU,6127,5617,11744
7105021,MAESAAN,4948,4697,9645
7105070,RANOYAPO,6165,5655,11820
7105080,MOTOLING,3709,3471,7180
7105081,KUMELEMBUAI,3472,3176,6648
7105082,MOTOLING BARAT,3950,3677,7627
7105083,MOTOLING TIMUR,4559,4098,8657
7105090,SINONSAYANG,7781,7224,15005
7105100,TENGA,8839,8276,17115
7105111,AMURANG,8295,7915,16210
7105112,AMURANG BARAT,7670,7244,14914
7105113,AMURANG TIMUR,6999,6527,13526
7105120,TARERAN,6238,5879,12117
7105121,SULTA,3661,3434,7095
7105130,TUMPAAN,8020,7512,15532
7105131,TATAPAAN,4624,4318,8942
7106,MINAHASA UTARA,95879,92588,188467
7106010,KEMA,7695,7285,14980
7106020,KAUDITAN,11852,11733,23585
7106030,AIRMADIDI,13480,13112,26592
7106040,KALAWAT,13391,13233,26624
7106050,DIMEMBE,11508,11105,22613
7106051,TALAWAAN,8981,8505,17486
7106060,WORI,9163,8803,17966
7106070,LIKUPANG BARAT,8761,8250,17011
7106080,LIKUPANG TIMUR,8426,8077,16503
7106081,LIKUPANG SELATAN,2622,2485,5107
7107,BOOLANG MONGONDOW UTARA,36155,34474,70629
7107010,SANGKUB,4598,4297,8895
7107020,BINTAUNA,6464,6147,12611
7107030,BOLANG ITANG TIMUR,6514,6361,12875
7107040,BOLANG ITANG BARAT,7216,6825,14041
7107050,KAIDIPANG,6271,6027,12298
7107060,PINOGALUMAN,5092,4817,9909
7108,KEPULAUAN SIAU TAGULANDANG BIARO,31428,32115,63543
7108010,BIARO,1623,1620,3243
7108020,TAGULANDANG SELATAN,2056,2073,4129
7108030,TAGULANDANG,5716,5848,11564
7108040,TAGULANDANG UTARA,2053,1975,4028
7108050,SIAU BARAT SELATAN,2024,2054,4078
7108060,SIAU TIMUR SELATAN,3584,3594,7178
7108070,SIAU BARAT ,3830,4002,7832
7108080,SIAU TENGAH,905,943,1848
7108090,SIAU TIMUR,7695,8055,15750
7108100,SIAU BARAT UTARA,1942,1951,3893
7109,MINAHASA TENGGARA,51981,48324,100305
7109010,RATATOTOK,6345,5794,12139
7109020,PUSOMAEN,4277,3928,8205
7109030,BELANG,7901,7293,15194
7109040,RATAHAN,6240,5882,12122
7109041,PASAN,3376,3225,6601
7109042,RATAHAN TIMUR,2849,2697,5546
7109050,TOMBATU,4663,4324,8987
7109051,TOMBATU TIMUR,4348,4097,8445
7109052,TOMBATU UTARA,3955,3705,7660
7109060,TOULUAAN,3213,2983,6196
7109061,TOULUAAN SELATAN,2147,1906,4053
7109062,SILIAN RAYA,2667,2490,5157
7110,BOOLANG MONGONDOW SELATAN,29493,27053,56546
7110010,POSIGADAN,8344,7781,16125
7110020,BOLANG UKI,10126,9435,19561
7110030,PINOLOSIAN,4750,4314,9064
7110040,PINOLOSIAN TENGAH,2694,2360,5054
7110050,PINOLOSIAN TIMUR,3579,3163,6742
7111,BOLANG MONGONDOW TIMUR,33246,30347,63593
7111010,NUANGAN,6763,6143,12906
7111020,TUTUYAN,5871,5327,11198
7111030,KOTABUNAN,5855,5136,10991
7111040,MODAYAG,9647,8964,18611
7111050,MODAYAG BARAT,5110,4777,9887
7171,KOTA MANADO,205095,203259,408354
7171010,MALALAYANG,29032,28652,57684
7171020,SARIO,11536,11625,23161
7171021,WANEA,27853,28099,55952
7171030,WENANG,15898,16444,32342
7171031,TIKALA,34276,33522,67798
7171040,MAPANGET,26038,25651,51689
7171051,SINGKIL,23528,23289,46817
7171052,TUMINTING,26284,25730,52014
7171053,BUNAKEN,10650,10247,20897
7172,KOTA BITUNG,96167,91765,187932
7172010,MADIDIR,16717,16653,33370
7172011,MATUARI ,13972,13375,27347
7172012,GIRIAN,14212,13619,27831
7172021,LEMBEH SELATAN,4699,4417,9116
7172022,LEMBEH UTARA,4338,4161,8499
7172030,AERTEMBAGA,14756,13555,28311
7172031,MAESA,18756,17449,36205
7172040,RANOWULU,8717,8536,17253
7173,KOTA TOMOHON,46212,45380,91592
7173010,TOMOHON SELATAN,10882,10265,21147
7173020,TOMOHON TENGAH,9708,10378,20086
7173021,TOMOHON TIMUR,5247,5025,10272
7173022,TOMOHON BARAT,7256,6917,14173
7173030,TOMOHON UTARA,13119,12795,25914
7174,KOTA KOTAMOBAGU,54705,52511,107216
7174010,KOTAMOBAGU SELATAN,14421,13566,27987
7174020,KOTAMOBAGU TIMUR,13439,12800,26239
7174030,KOTAMOBAGU BARAT,18990,18544,37534
7174040,KOTAMOBAGU UTARA,7855,7601,15456
7200,SULAWESI TENGAH,1349225,1284195,2633420
7201,BANGGAI KEPULAUAN,86909,84776,171685
7201010,LABOBO,2686,2657,5343
7201011,BOKAN KEPULAUAN,5835,5726,11561
7201012,BANGKURUNG,4131,4065,8196
7201020,BANGGAI,10188,9831,20019
7201021,BANGGAI UTARA,3053,2959,6012
7201022,BANGGAI TENGAH,3157,3212,6369
7201023,BANGGAI SELATAN,2450,2358,4808
7201030,TOTIKUM,5057,4810,9867
7201031,TOTIKUM SELATAN,4037,3996,8033
7201040,TINANGKUNG,6684,6588,13272
7201041,TINANGKUNG SELATAN,3678,3519,7197
7201042,TINANGKUNG UTARA,3874,3793,7667
7201050,LIANG,4427,4344,8771
7201051,PELING TENGAH,4661,4579,9240
7201060,BULAGI,4827,4709,9536
7201061,BULAGI SELATAN,4955,4716,9671
7201062,BULAGI UTARA,4567,4321,8888
7201070,BUKO,4688,4665,9353
7201071,BUKO SELATAN,3954,3928,7882
7202,BANGGAI,165266,158606,323872
7202010,TOILI ,15883,14847,30730
7202011,TOILI BARAT,10852,9999,20851
7202012,MOILONG,9378,8740,18118
7202020,BATUI,7477,7276,14753
7202021,BATUI SELATAN,6622,6189,12811
7202030,BUNTA,9421,8993,18414
7202031,NUHON,9232,8603,17835
7202032,SIMPANG RAYA,7048,6544,13592
7202040,KINTOM,6458,6564,13022
7202050,LUWUK,36813,36819,73632
7202051,LUWUK TIMUR,5484,5064,10548
7202060,PAGIMANA,11365,10970,22335
7202061,BUALEMO,8750,8316,17066
7202062,LOBU,1670,1664,3334
7202070,LAMALA,6411,6071,12482
7202071,MASAMA,5408,5240,10648
7202080,BALANTAK,4696,4605,9301
7202081,BALANTAK SELATAN,2298,2102,4400
7203,MOROWALI,106922,99267,206189
7203010,MENUI KEPULAUAN,5927,6136,12063
7203020,BUNGKU SELATAN,8689,8580,17269
7203021,BAHODOPI,3519,3072,6591
7203030,BUNGKU TENGAH,14234,13537,27771
7203040,BUNGKU BARAT,5286,4749,10035
7203041,BUMI RAYA,5965,5521,11486
7203042,WITA PONDA,8815,8121,16936
7203050,LEMBO,10655,9638,20293
7203060,MORI ATAS,5506,4868,10374
7203061,MORI UTARA,3625,3189,6814
7203070,PETASIA,17525,16164,33689
7203071,SOYO JAYA,4312,3583,7895
7203080,BUNGKU UTARA,7565,7142,14707
7203081,MAMOSALATO,5299,4967,10266
7204,POSO,108748,100504,209252
7204010,PAMONA SELATAN,9634,8795,18429
7204011,PAMONA BARAT,4921,4417,9338
7204012,PAMONA TENGGARA,3365,3119,6484
7204020,LORE SELATAN,2935,2696,5631
7204021,LORE BARAT,1477,1340,2817
7204030,PAMONA UTARA,15608,14612,30220
7204031,PAMONA TIMUR,5025,4500,9525
7204040,LORE UTARA,6269,5564,11833
7204041,LORE TENGAH,2159,1877,4036
7204042,LORE TIMUR ,2675,2205,4880
7204043,LORE PEORE,1571,1368,2939
7204050,POSO PESISIR,10295,9756,20051
7204051,POSO PESISIR SELATAN,4610,4234,8844
7204052,POSO PESISIR UTARA,8222,7488,15710
7204060,LAGE,9504,8714,18218
7204070,POSO KOTA,10421,9837,20258
7204071,POSO KOTA UTARA,5599,5481,11080
7204072,POSO KOTA SELATAN,4458,4501,8959
7205,DONGGALA,142179,135057,277236
7205041,RIO PAKAVA,11435,10386,21821
7205051,PINEMBANI,2990,2827,5817
7205080,BANAWA,16336,15706,32042
7205081,BANAWA SELATAN,12126,11324,23450
7205082,BANAWA TENGAH,5209,4852,10061
7205090,LABUAN,6901,6410,13311
7205091,TANANTOVEA,7693,7478,15171
7205100,SINDUE,9207,9099,18306
7205101,SINDUE TOMBUSABORA,5835,5508,11343
7205102,SINDUE TOBATA,4517,4247,8764
7205120,SIRENJA,10303,9945,20248
7205130,BALAESANG,11572,11197,22769
7205131,BALAESANG TANJUNG,5302,5044,10346
7205140,DAMSOL,14875,14075,28950
7205160,SOJOL,13084,12382,25466
7205161,SOJOL UTARA,4794,4577,9371
7206,TOLI-TOLI,108081,103202,211283
7206010,DAMPAL SELATAN,10801,10593,21394
7206020,DAMPAL UTARA,7340,7039,14379
7206030,DONDO,10972,10415,21387
7206031,OGODEIDE,6060,5632,11692
7206032,BASIDONDO,5584,4906,10490
7206040,BAOLAN,32094,30935,63029
7206041,LAMPASIO,6263,5601,11864
7206050,GALANG,16069,15581,31650
7206060,TOLITOLI UTARA,8632,8334,16966
7206061,DAKO PAMEAN,4266,4166,8432
7207,BUOL,67892,64489,132381
7207010,LAKEA,4992,4695,9687
7207011,BIAU,13924,13506,27430
7207012,KARAMAT,4289,3997,8286
7207020,MOMUNU,7090,6808,13898
7207021,TILOAN,5179,4777,9956
7207030,BOKAT,6405,6225,12630
7207031,BUKAL,7074,6444,13518
7207040,BUNOBOGU ,4512,4372,8884
7207041,GADUNG,5816,5522,11338
7207050,PALELEH,5769,5499,11268
7207051,PALELEH BARAT,2842,2644,5486
7208,PARIGI MOUTONG,212729,200916,413645
7208010,SAUSU,11208,10286,21494
7208011,TORUE,9630,9092,18722
7208012,BALINGGI,8410,8021,16431
7208020,PARIGI,14381,13903,28284
7208021,PARIGI SELATAN,11163,10558,21721
7208022,PARIGI BARAT,3701,3435,7136
7208023,PARIGI UTARA,2917,2715,5632
7208024,PARIGI TENGAH,4137,4028,8165
7208030,AMPIBABO,10582,10026,20608
7208031,KASIMBAR,10513,9866,20379
7208032,TORIBULU,8481,7900,16381
7208033,SINIU,4451,4182,8633
7208040,TINOMBO,17872,16811,34683
7208041,TINOMBO SELATAN,13185,12418,25603
7208050,TOMINI,9188,8680,17868
7208051,MEPANGA,14015,13445,27460
7208052,PALASA,13503,12754,26257
7208060,MOUTONG,10306,10004,20310
7208061,BOLANO LAMBUNU,28630,26545,55175
7208062,TAOPA,6456,6247,12703
7209,TOJO UNA-UNA,70762,67118,137880
7209010,TOJO BARAT,5930,5424,11354
7209020,TOJO,6500,5988,12488
7209030,ULUBONGKA,8242,7554,15796
7209040,AMPANA TETE,11583,10702,22285
7209050,AMPANA KOTA,20264,20019,40283
7209060,UNA-UNA,6326,6125,12451
7209070,TOGEAN,4717,4373,9090
7209080,WALEA KEPULAUAN,5186,5096,10282
7209081,WALEA BESAR,2014,1837,3851
7210,SIGI,110530,104170,214700
7210010,PIPIKORO,4009,3792,7801
7210020,KULAWI SELATAN,4448,4017,8465
7210030,KULAWI,7334,6907,14241
7210040,LINDU,2442,2137,4579
7210050,NOKILALAKI,2861,2761,5622
7210060,PALOLO,14406,12962,27368
7210070,GUMBASA,6067,5615,11682
7210080,DOLO SELATAN,7476,6978,14454
7210090,DOLO BARAT,6374,6139,12513
7210100,TANAMBULAVA ,4058,3808,7866
7210110,DOLO,10631,9806,20437
7210120,SIGI BIROMARU,21880,20931,42811
7210130,MARAWOLA,10517,10496,21013
7210140,MARAWOLA BARAT,3214,3160,6374
7210150,KINOVARO,4813,4661,9474
7271,KOTA PALU,169207,166090,335297
7271010,PALU BARAT,49743,49048,98791
7271020,PALU SELATAN,61379,60524,121903
7271030,PALU TIMUR,38470,37262,75732
7271040,PALU UTARA,19615,19256,38871
7300,SULAWESI SELATAN,3921543,4111008,8032551
7301,SELAYAR,58376,63529,121905
7301010,PASIMARANNU,4124,4830,8954
7301011,PASILAMBENA,3276,3500,6776
7301020,PASIMASSUNGGU,3587,4029,7616
7301021,TAKABONERATE,6026,6263,12289
7301022,PASIMASSUNGGU TIMUR,3460,3851,7311
7301030,BONTOSIKUYU,6927,7363,14290
7301040,BONTOHARU,6056,6421,12477
7301041,BENTENG,10185,11094,21279
7301042,BONTOMANAI,6005,6225,12230
7301050,BONTOMATENE,5821,6744,12565
7301051,BUKI,2909,3209,6118
7302,BULUKUMBA,186649,208108,394757
7302010,GANTARANG,34072,36994,71066
7302020,UJUNG BULU,23213,24851,48064
7302021,UJUNG LOE,18675,20807,39482
7302030,BONTO BAHARI,10783,13162,23945
7302040,BONTOTIRO,10003,12775,22778
7302050,HERO LANGE-LANGE,10907,13190,24097
7302060,KAJANG,22376,24643,47019
7302070,BULUKUMPA,24333,26437,50770
7302080,RILAU ALE ,17789,19971,37760
7302090,KINDANG,14498,15278,29776
7303,BANTAENG,85677,91307,176984
7303010,BISSAPPU,15229,16137,31366
7303011,ULUERE,5332,5481,10813
7303012,SINOA,5758,6063,11821
7303020,BANTAENG,17854,18718,36572
7303021,EREMERASA,8884,9744,18628
7303030,TOMPOBULU,10854,12062,22916
7303031,PA'JUKUKANG,14232,14772,29004
7303032,GANTARANGKEKE,7534,8330,15864
7304,JENEPONTO,166152,176070,342222
7304010,BANGKALA,24199,25478,49677
7304011,BANGKALA BARAT,13046,13293,26339
7304020,TAMALATEA,19821,20575,40396
7304021,BONTORAMBA,16955,18037,34992
7304030,BINAMU,25525,26859,52384
7304031,TURATEA,14495,15396,29891
7304040,BATANG,9031,10088,19119
7304041,ARUNGKEKE,8743,9487,18230
7304042,TAROWANG,10804,11424,22228
7304050,KELARA,12618,13838,26456
7304051,RUMBIA,10915,11595,22510
7305,TAKALAR,129384,139787,269171
7305010,MANGARA BOMBANG,17505,19219,36724
7305020,MAPPAKASUNGGU,7204,7973,15177
7305021,SANROBONE,6230,7033,13263
7305030,POLOMBANGKENG SELATAN,12629,14147,26776
7305031,PATTALLASSANG,16535,18137,34672
7305040,POLOMBANGKENG UTARA,22136,23548,45684
7305050,GALESONG SELATAN,11310,12464,23774
7305051,GALESONG,18326,19025,37351
7305060,GALESONG UTARA,17509,18241,35750
7306,GOWA,320568,331761,652329
7306010,BONTONOMPO,18817,20488,39305
7306011,BONTONOMPO SELATAN,13702,14785,28487
7306020,BAJENG,30749,31580,62329
7306021,BAJENG BARAT,11171,11762,22933
7306030,PALLANGGA,48546,49826,98372
7306031,BAROMBONG,16915,17330,34245
7306040,SOMBA OPU,64442,65684,130126
7306050,BONTOMARANNU,15724,15905,31629
7306051,PATTALLASSANG,10869,10981,21850
7306060,PARANGLOE,8062,8349,16411
7306061,MANUJU ,6845,7229,14074
7306070,TINGGIMONCONG,11012,11145,22157
7306071,TOMBOLO PAO,13651,13238,26889
7306072,PARIGI,6226,6874,13100
7306080,BUNGAYA,7710,8163,15873
7306081,BONTOLEMPANGAN,6309,6903,13212
7306090,TOMPOBULU,14036,14954,28990
7306091,BIRINGBULU,15782,16565,32347
7307,SINJAI,110801,118135,228936
7307010,SINJAI BARAT,11414,11573,22987
7307020,SINJAI BORONG,7884,8017,15901
7307030,SINJAI SELATAN,17851,19185,37036
7307040,TELLU LIMPOE,15031,16437,31468
7307050,SINJAI TIMUR,13647,15316,28963
7307060,SINJAI TENGAH,12816,13171,25987
7307070,SINJAI UTARA,20910,22593,43503
7307080,BULUPODDO,7622,8065,15687
7307090,PULAU SEMBILAN,3626,3778,7404
7308,MAROS,155761,162477,318238
7308010,MANDAI,17545,17428,34973
7308011,MONCONGLOE,8480,8492,16972
7308020,MAROS BARU,11617,12223,23840
7308021,MARUSU,12378,12810,25188
7308022,TURIKALE,19737,21301,41038
7308023,LAU,11865,12343,24208
7308030,BONTOA,12920,13630,26550
7308040,BANTIMURUNG,13265,14552,27817
7308041,SIMBANG,10539,11462,22001
7308050,TANRALILI,12961,12140,25101
7308051,TOMPU BULU,6727,6944,13671
7308060,CAMBA,6049,6474,12523
7308061,CENRANA,6540,7124,13664
7308070,MALLAWA,5138,5554,10692
7309,PANGKAJENE DAN KEPULAUAN,147136,158622,305758
7309010,LIUKANG TANGAYA,8902,9312,18214
7309020,LIUKANG KALMAS,6307,6624,12931
7309030,LIUKANG TUPABBIRING,8365,8562,16927
7309031,LIUKANG TUPABBIRING UTARA,5924,6415,12339
7309040,PANGKAJENE,20121,21480,41601
7309041,MINASATENE,15895,17288,33183
7309050,BALOCCI,7520,7807,15327
7309051,TONDONG TALLASA,4250,4489,8739
7309060,BUNGORO,19054,19953,39007
7309070,LABAKKANG ,20442,23203,43645
7309080,MA'RANG,14298,15613,29911
7309091,SEGERI,9511,10543,20054
7309092,MANDALLE,6547,7333,13880
7310,BARRU,79617,86283,165900
7310010,TANETE RIAJA,10384,11505,21889
7310011,PUJANANTING,6265,6511,12776
7310020,TANETE RILAU,15644,17144,32788
7310030,BARRU,18519,19795,38314
7310040,SOPPENG RIAJA,8508,9099,17607
7310041,BALUSU,8307,9187,17494
7310050,MALLUSETASI,11990,13042,25032
7311,BONE,341335,375933,717268
7311010,BONTOCANI,7656,7699,15355
7311020,KAHU,17905,19510,37415
7311030,KAJUARA,16783,17763,34546
7311040,SALOMEKKO,7265,7696,14961
7311050,TONRA,6160,6658,12818
7311060,PATIMPENG,7543,8134,15677
7311070,LIBURENG,14536,14605,29141
7311080,MARE,12159,12877,25036
7311090,SIBULUE,15218,17444,32662
7311100,CINA,12119,13243,25362
7311110,BAREBBO,12314,14065,26379
7311120,PONRE,6437,6765,13202
7311130,LAPPARIAJA,11067,12093,23160
7311140,LAMURU,11361,12926,24287
7311141,TELLU LIMPOE,6827,6933,13760
7311150,BENGO,12153,13089,25242
7311160,ULAWENG,11435,13080,24515
7311170,PALAKKA,10257,11837,22094
7311180,AWANGPONE,13140,15429,28569
7311190,TELLU SIATTINGE,18416,21291,39707
7311200,AMALI,9334,11204,20538
7311210,AJANGALE,12581,14606,27187
7311220,DUA BOCCOE,13808,16131,29939
7311230,CENRANA,11090,12270,23360
7311710,TANETE RIATTANG BARAT,20863,22617,43480
7311720,TANETE RIATTANG,22815,25671,48486
7311730,TANETE RIATTANG TIMUR,20093,20297,40390
7312,SOPPENG,105325,118432,223757
7312010,MARIO RIWAWO,20672,23636,44308
7312020,LALABATA,21298,22991,44289
7312030,LILI RIAJA,12667,14312,26979
7312031,GANRA,5153,6102,11255
7312032,CITTA ,3621,4379,8000
7312040,LILI RILAU,17913,20261,38174
7312050,DONRI DONRI,10664,12220,22884
7312060,MARIO RIAWA,13337,14531,27868
7313,WAJO,183371,201323,384694
7313010,SABBANG PARU,11879,13875,25754
7313020,TEMPE,29211,31759,60970
7313030,PAMMANA,14541,16661,31202
7313040,BOLA,9208,10160,19368
7313050,TAKKALALLA,9769,10764,20533
7313060,SAJOANGING,9073,9590,18663
7313061,PENRANG,7235,8297,15532
7313070,MAJAULENG,14518,16694,31212
7313080,TANA SITOLO,18515,20665,39180
7313090,BELAWA,15185,16733,31918
7313100,MANIANG PAJO,7759,8229,15988
7313101,GILIRENG,5331,5697,11028
7313110,KEERA,10724,10958,21682
7313120,PITUMPANUA,20423,21241,41664
7314,SIDENRENG RAPPANG,131954,139847,271801
7314010,PANCA LAUTANG,8311,8934,17245
7314020,TELLULIMPO E,10730,11927,22657
7314030,WATANG PULU,14845,15346,30191
7314040,BARANTI,13523,14543,28066
7314050,PANCA RIJANG,13032,14084,27116
7314051,KULO,5520,5822,11342
7314060,MARITENGNGAE,22269,23855,46124
7314061,WATANG SIDENRENG,8377,8716,17093
7314070,PITU RIAWA,12223,12686,24909
7314080,DUAPITUE,13175,14024,27199
7314081,PITU RIASE,9949,9910,19859
7315,PINRANG,170374,180787,351161
7315010,SUPPA,14702,15653,30355
7315020,MATTIROSOMPE,13247,14170,27417
7315021,LANRISANG,8119,9018,17137
7315030,MATTIRO BULU,12905,13916,26821
7315040,WATANG SAWITTO,25169,26159,51328
7315041,PALETEANG,17951,18697,36648
7315042,TIROANG,10216,10661,20877
7315050,PATAMPANUA,15308,16310,31618
7315060,CEMPA,8364,8849,17213
7315070,DUAMPANUA,21094,22768,43862
7315071,BATULAPPA,4709,4944,9653
7315080,LEMBANG,18590,19642,38232
7316,ENREKANG,95578,94597,190175
7316010,MAIWA ,11539,11578,23117
7316011,BUNGIN,2217,2127,4344
7316020,ENREKANG,14957,15623,30580
7316021,CENDANA,4188,4492,8680
7316030,BARAKA,10769,10456,21225
7316031,BUNTU BATU,6548,6230,12778
7316040,ANGGERAJA,11866,11916,23782
7316041,MALUA,3739,3910,7649
7316050,ALLA,10572,10061,20633
7316051,CURIO,7613,7243,14856
7316052,MASALLE,6286,5976,12262
7316053,BAROKO,5284,4985,10269
7317,LUWU,164287,168576,332863
7317010,LAROMPONG,9403,9425,18828
7317011,LAROMPONG SELATAN,7874,8074,15948
7317020,SULI,8722,9544,18266
7317021,SULI BARAT,4357,4109,8466
7317030,BELOPA,6959,7840,14799
7317031,KAMANRE,5488,5740,11228
7317032,BELOPA UTARA,7071,7520,14591
7317040,BAJO,6754,7450,14204
7317041,BAJO BARAT,4603,4779,9382
7317050,BASSESANGTEMPE,7327,6828,14155
7317051,LATIMOJONG,2761,2687,5448
7317060,BUPON,7167,7354,14521
7317061,PONRANG,13072,13197,26269
7317062,PONRANG SELATAN,11637,12235,23872
7317070,BUA,14946,15943,30889
7317080,WALENRANG,8663,8749,17412
7317081,WALENRANG TIMUR,7660,7740,15400
7317090,LAMASI,10195,10234,20429
7317091,WALENRANG UTARA,8904,8825,17729
7317092,WALENRANG BARAT,4642,4251,8893
7317093,LAMASI TIMUR,6082,6052,12134
7318,TANA TORAJA,112439,109356,221795
7318010,BONGGAKARADENG,3644,3249,6893
7318011,SIMBUANG,3101,2990,6091
7318012,RANO,3105,2943,6048
7318013,MAPPAK,2919,2675,5594
7318020,MENGKENDEK,13997,13641,27638
7318021,GANDANG BATU SILANAN,9572,9689,19261
7318030,SANGALLA,3347,3262,6609
7318031,SANGALA SELATAN,3697,3674,7371
7318032,SANGALLA UTARA,3658,3675,7333
7318040,MAKALE,16796,16988,33784
7318041,MAKALE SELATAN,6311,6100,12411
7318042,MAKALE UTARA ,5924,5855,11779
7318050,SALUPUTTI,3772,3678,7450
7318051,BITTUANG,7556,6951,14507
7318052,REMBON,9176,8938,18114
7318053,MASANDA,3233,2952,6185
7318054,MALIMBONG BALEPE,4495,4443,8938
7318061,RANTETAYO,5413,5228,10641
7318067,KURRA,2723,2425,5148
7322,LUWU UTARA,144950,142656,287606
7322010,SABBANG,17524,17329,34853
7322020,BAEBUNTA,21728,21373,43101
7322030,MALANGKE,13678,13448,27126
7322031,MALANGKE BARAT,11835,11683,23518
7322040,SUKAMAJU,20540,20238,40778
7322050,BONE-BONE,23268,22589,45857
7322120,MASAMBA,15360,15850,31210
7322121,MAPPEDECENG,11033,10891,21924
7322122,RAMPI,1532,1331,2863
7322130,LIMBONG,2006,1816,3822
7322131,SEKO,6446,6108,12554
7325,LUWU TIMUR,125202,117680,242882
7325010,BURAU,15685,15113,30798
7325020,WOTU,14159,13918,28077
7325030,TOMONI,11395,10783,22178
7325031,TOMONI TIMUR,6013,5748,11761
7325040,ANGKONA,11183,10499,21682
7325050,MALILI,16966,15708,32674
7325060,TOWUTI,14343,12829,27172
7325070,NUHA,10582,9599,20181
7325071,WASUPONDA,9461,8511,17972
7325080,MANGKUTANA,10099,9743,19842
7325081,KALAENA,5316,5229,10545
7326,TORAJA UTARA,108952,106448,215400
7326010,SOPAI,6688,6360,13048
7326020,KESU,7783,7667,15450
7326030,SANGGALANGI,5501,5495,10996
7326040,BUNTAO,4396,4066,8462
7326050,RANTEBUA,3764,3611,7375
7326060,NANGGALA,4740,4418,9158
7326070,TONDON,4773,4553,9326
7326080,TALLUNGLIPU,9147,8865,18012
7326090,RANTEPAO,12580,13166,25746
7326100,TIKALA,5228,4992,10220
7326110,SESEAN,5524,5376,10900
7326120,BALUSU,3342,3415,6757
7326130,SA'DAN ,7315,7257,14572
7326140,BENGKELEKILA,2480,2580,5060
7326150,SESEAN SULOARA,3236,3014,6250
7326160,KAPALA PITU,3040,2887,5927
7326170,DENDE PIONGAN NAPO,4090,3826,7916
7326180,AWAN RANTE KARUA,2626,2515,5141
7326190,RINDINGALO,3761,3510,7271
7326200,BUNTU PEPASAN,6178,6271,12449
7326210,BARUPPU,2760,2604,5364
7371,KOTA MAKASSAR,661379,677995,1339374
7371010,MARISO,27836,28039,55875
7371020,MAMAJANG,28811,30187,58998
7371030,TAMALATE,84474,86404,170878
7371031,RAPPOCINI,73377,77714,151091
7371040,MAKASSAR,40233,41467,81700
7371050,UJUNG PANDANG,12684,14220,26904
7371060,WAJO,14279,15080,29359
7371070,BONTOALA,26432,27765,54197
7371080,UJUNG TANAH,23380,23308,46688
7371090,TALLO,67247,67047,134294
7371100,PANAKKUKANG,69996,71386,141382
7371101,MANGGALA,58451,58624,117075
7371110,BIRING KANAYA,83203,84538,167741
7371111,TAMALANREA,50976,52216,103192
7372,KOTA PARE-PARE,63719,65823,129542
7372010,BACUKIKI,7150,7265,14415
7372011,BACUKIKI BARAT,19151,19939,39090
7372020,UJUNG,15892,16461,32353
7372030,SOREANG,21526,22158,43684
7373,KOTA PALOPO,72557,75476,148033
7373010,WARA SELATAN,4822,5306,10128
7373011,SENDANA,2893,2838,5731
7373020,WARA,14993,16076,31069
7373021,WARA TIMUR,15218,15802,31020
7373022,MUNGKAJANG,3432,3553,6985
7373030,WARA UTARA,9192,9828,19020
7373031,BARA,11333,11637,22970
7373040,TELLUWANUA,5924,5779,11703
7373041,WARA BARAT,4750,4657,9407
7400,SULAWESI TENGGARA,1120225,1110344,2230569
7401,BUTON,124244,131230,255474
